=== COQ PROOF VERIFICATION LOG ===
Date: Mon Jan 12 01:04:04 AM EST 2026
System: Linux helinux 6.18.2-zen2-1-zen #1 ZEN SMP PREEMPT_DYNAMIC Thu, 18 Dec 2025 18:00:58 +0000 x86_64 GNU/Linux
Coq Version: The Rocq Prover, version 9.1.0
compiled with OCaml 5.4.0
----------------------------------
Chars 65 - 102 [Definition~Source~:~Type~:=~li...] 0. secs (0.u,0.s)
Chars 103 - 142 [Definition~Bytecode~:~Type~:=~...] 0. secs (0.u,0.s)
Chars 186 - 241 [Definition~simple_compile~(s~:...] 0. secs (0.u,0.s)
Chars 273 - 357 [Theorem~A1_Determinism~:~~~for...] 0. secs (0.u,0.s)
Chars 358 - 364 [Proof.] 0. secs (0.u,0.s)
Chars 367 - 375 [intro~s.] 0. secs (0.u,0.s)
Chars 378 - 390 [reflexivity.] 0. secs (0.u,0.s)
Chars 391 - 395 [Qed.] 0. secs (0.u,0.s)
Chars 425 - 526 [Axiom~~~(A3_Injective~:~~~~~~f...] 0. secs (0.u,0.s)
Chars 43 - 65 [Open~Scope~list_scope.] 0. secs (0.u,0.s)
Chars 104 - 251 [Inductive~Value~:~Type~:=~~~|~...] 0.002 secs (0.002u,0.s)
Chars 273 - 473 [Definition~serialize~(v~:~Valu...] 0.001 secs (0.001u,0.s)
Chars 497 - 698 [Definition~deserialize~(bytes~...] 0.001 secs (0.u,0.s)
Chars 763 - 840 [Axiom~(A4_Serialization~:~fora...] 0. secs (0.u,0.s)
Chars 865 - 916 [Definition~int_to_value~(i~:~n...] 0. secs (0.u,0.s)
Chars 918 - 962 [Example~int_test~:~int_to_valu...] 0. secs (0.u,0.s)
Chars 963 - 969 [Proof.] 0. secs (0.u,0.s)
Chars 970 - 982 [reflexivity.] 0. secs (0.u,0.s)
Chars 983 - 987 [Qed.] 0. secs (0.u,0.s)
Chars 1009 - 1103 [Definition~is_null~(v~:~Value)...] 0. secs (0.u,0.s)
Chars 1105 - 1145 [Example~null_test~:~is_null~Nu...] 0. secs (0.u,0.s)
Chars 1146 - 1152 [Proof.] 0. secs (0.u,0.s)
Chars 1153 - 1165 [reflexivity.] 0. secs (0.u,0.s)
Chars 1166 - 1170 [Qed.] 0. secs (0.u,0.s)
Chars 48 - 70 [Require~Import~Axioms.] 0. secs (0.u,0.s)
Chars 71 - 92 [Open~Scope~nat_scope.] 0. secs (0.u,0.s)
Chars 93 - 115 [Open~Scope~list_scope.] 0. secs (0.u,0.s)
Chars 150 - 242 [Inductive~Expr~:~Type~:=~~~|~N...] 0.002 secs (0.002u,0.s)
Chars 270 - 413 [Fixpoint~eval~(e~:~Expr)~:~nat...] 0. secs (0.u,0.s)
Chars 446 - 512 [Inductive~BytecodeOp~:~Type~:=...] 0.001 secs (0.001u,0.s)
Chars 556 - 609 [Definition~BytecodeProgram~:~T...] 0. secs (0.u,0.s)
Chars 626 - 867 [Fixpoint~compile_expr~(e~:~Exp...] 0.001 secs (0.001u,0.s)
Chars 899 - 989 [Theorem~A1_Determinism_Compila...] 0. secs (0.u,0.s)
Chars 990 - 996 [Proof.] 0. secs (0.u,0.s)
Chars 999 - 1007 [intro~e.] 0. secs (0.u,0.s)
Chars 1010 - 1022 [reflexivity.] 0. secs (0.u,0.s)
Chars 1023 - 1027 [Qed.] 0. secs (0.u,0.s)
